Stéréotypes|Réponse 1|Réponse 2|Réponse 3
Les filles sont plus susceptibles d'être discriminé dans le milieu scolaire que les garçons.|C’est faux !|*Oui, et il faut y remédier !|C’est normal, les filles sont moins fortes !
Les femmes dans les manuels scolaires sont représentées de façon très sexuée, présentes dans l’univers domestique mais absentes dans le domaine de la politique et intellectuel. |Normal c’est leur place|Il ne devrait y avoir que des hommes pour casser les stéréotype|*Il devrait y avoir les deux genres représentés de manière équitable.  
Les filles doivent renoncer à certaines tenues vestimentaires.|*Ça ne devrait pas être le cas ! |Mais non, ce n’est pas vrai. |Les garçons aussi n’ont pas le droit de venir déguisés... 
Les garçons ont plus de facilité dans le sport à l’école que les filles. |Oui, car Les filles ont un barème moins élevé que les garçons|Oui, car les garçons sont génétiquement plus fort physiquement que les filles|*Non, ils ont autant de difficultés / facilités.
Les filles et les garçons jouent chacun dans leurs coins, la mixité est mal vue|C'est parce que les garçons sont mauvais dans les jeux de filles et inversement|*Chacun devrait jouer à ce qu’il veut avec qui il veut|De toute façon, je n’aime pas jouer avec les gens. 
Les filles qui ont beaucoup de relations amoureuses seront moins bien vu qu’un garçon même s'ils en ont autant.|Les filles aiment plus se sentir aimer que les garçons|Les garçons sont plus timides que les filles|*On ne juge pas sur le nombre de relations amoureuses. 
Les garçons sont moins matures que les filles |C'est parce qu’ils sont moins intelligents|*Le genre n’a pas d’influence sur la maturité|Oui mais les garçons sont plus forts physiquement. 
Les filles sont plus bavardes que les garçons. |*Oui, car les filles apprennent le langage plus rapidement que les garçons|Non, car les garçons sont plus à l’aise à l’oral|On n'est pas bavarde, on a juste beaucoup de choses à raconter. Hier par exemple, je me baladais tranquillement jusqu'à ce que je croise Marie, mon amie d'enfance ! On est allé dans un café et on a parlé pendant des heures. Ca m'a rappelé le bon vieux temps quand, au collège...
Les filles jouent à la dinette ou à la poupée, les garçons au pompier ou font du sport. |Il n’y a pas de pompiers filles|Les garçons ne savent pas faire à manger|*Chacun peut jouer à ce qu’il veut. 
Les filles ont de meilleures notes. |Vrai, elles sont plus intelligentes|Faux, les garçons sont plus intelligents|*Vrai, les filles ont de meilleures notes que les garçons en moyenne.
Les garçons sont forts en Mathématique et les sciences. |C'est parce qu'ils sont plus logiques|Non, les maths et les sciences c’est trop dur.|*Les garçons comme les filles peuvent être fort en math.
Les garçons font plus de bêtises et sont plus insolents.  |*Tous les garçons ne sont pas comme ça.|Vrai, les sportifs n’ont pas de cerveau !|Ils ne sont pas insolents ils sont honnêtes
